idx,pred,true
1324,0.54694676,0.58064514
1328,0.6328869,0.58
1329,0.518693,0.58
1334,0.48364615,0.5797101
1336,0.5004419,0.57954544
1339,0.46395367,0.57931036
1342,0.6031158,0.57918555
1344,0.6238438,0.57894737
1348,0.52351904,0.57894737
1349,0.38926345,0.57894737
1353,0.5911741,0.57843137
1354,0.53856766,0.57843137
1362,0.55932754,0.57798165
1368,0.58591294,0.5777778
1369,0.62324876,0.5777778
1372,0.50683177,0.5777667
1374,0.53679496,0.5771812
1375,0.5701115,0.57714283
1376,0.6008191,0.5770363
1380,0.538612,0.5769231
1389,0.536263,0.5766871
1410,0.55427647,0.5754717
1414,0.49783438,0.5752688
1421,0.46000344,0.575
1423,0.49671894,0.575
1441,0.6312354,0.57416266
1447,0.48552537,0.57377046
1459,0.6278444,0.57287705
1461,0.54480594,0.57272726
1476,0.5349269,0.5714286
1487,0.5536109,0.5714286
1496,0.56795216,0.5714286
1505,0.4806295,0.5714286
1507,0.60873365,0.5714286
1508,0.61218953,0.57128614
1512,0.5270829,0.5707763
1521,0.5671308,0.5703704
1524,0.5694281,0.5702128
1525,0.5224504,0.5701754
1527,0.5268581,0.57012194
1528,0.5643038,0.57009345
1531,0.5073863,0.56989247
1539,0.5235617,0.569378
1541,0.5799453,0.5691824
1546,0.6058427,0.5689655
1547,0.4512794,0.5689655
1554,0.6444622,0.5683646
1557,0.49900576,0.5681818
1559,0.5258589,0.5681818
1560,0.5496149,0.5681592
1562,0.49701452,0.56790125
1573,0.6626725,0.56743
1581,0.62611145,0.5671642
1584,0.52919066,0.56696427
1590,0.653888,0.56666666
1597,0.5878929,0.56653994
1599,0.5799645,0.56643355
1604,0.3916574,0.5660377
1605,0.51802963,0.56582636
1607,0.5820709,0.56578946
1610,0.5838126,0.5654762
1611,0.60640574,0.5653951
1616,0.41025126,0.5652174
1621,0.597854,0.5652174
1630,0.49066967,0.5646067
1633,0.5476642,0.56437767
1635,0.5871248,0.56435645
1637,0.5683005,0.5641026
1643,0.558288,0.56388205
1646,0.44874987,0.56363636
1649,0.48091632,0.5633987
1660,0.6050142,0.56287426
1664,0.60233736,0.5625
1669,0.6504939,0.5625
1682,0.534935,0.56179774
1684,0.5188253,0.56164384
1689,0.58524036,0.5611511
1692,0.59770167,0.5609756
1693,0.46161574,0.5609756
1694,0.6358526,0.5609168
1698,0.4781261,0.5607477
1700,0.42532867,0.56060606
1702,0.57838464,0.5605516
1708,0.5461683,0.5601415
1710,0.43921852,0.56
1711,0.5528773,0.56
1712,0.54324305,0.56
1714,0.54610074,0.56
1715,0.5278046,0.56
1734,0.5047524,0.5588235
1737,0.4920686,0.5588235
1738,0.6238506,0.5588235
1746,0.5413393,0.55839413
1750,0.42645052,0.55813956
1753,0.580157,0.5579515
1754,0.5832801,0.55789477
1756,0.638175,0.5578231
1759,0.47820362,0.5576923
1775,0.54743546,0.55723
1778,0.49475336,0.55714285
1781,0.44643414,0.5570292
1788,0.52455276,0.556701
1789,0.52644336,0.5566038
1790,0.6103437,0.5564516
1794,0.60655093,0.55627704
1798,0.5447761,0.55617976
1801,0.45061713,0.55607474
1807,0.50173616,0.5555556
1809,0.49702975,0.5555556
1823,0.52988863,0.5555556
1829,0.5308487,0.5549133
1830,0.5473156,0.5549096
1832,0.6141746,0.55481285
1850,0.5525805,0.5538462
1854,0.6052921,0.5535536
1865,0.533123,0.5531915
1869,0.58724105,0.5529412
1870,0.611778,0.5529412
1876,0.5992743,0.55244756
1878,0.6207159,0.5523256
1884,0.5526706,0.5521454
1887,0.53643084,0.552
1893,0.4448016,0.55172414
1903,0.5006752,0.5515464
1906,0.44469652,0.5514706
1914,0.51893544,0.5510949
1916,0.54074407,0.55082744
1923,0.6122372,0.5504587
1930,0.5658628,0.5500468
1931,0.4733682,0.55
1934,0.57258487,0.55
1940,0.4787541,0.55
1945,0.43147483,0.5496183
1955,0.5343357,0.54924244
1961,0.5574372,0.5486968
1963,0.49932426,0.5485714
1967,0.5799421,0.5483871
1987,0.4896684,0.546875
1989,0.45002508,0.5468198
1991,0.48352033,0.5467626
1994,0.62846977,0.5466667
1999,0.47409618,0.54651165
2000,0.44340357,0.54651165
2008,0.53303707,0.54612935
2010,0.5763712,0.5456621
2013,0.5636602,0.54545456
2018,0.4495602,0.54545456
2020,0.5584203,0.54545456
2025,0.4079155,0.54545456
2026,0.38832784,0.54545456
2027,0.48722115,0.54545456
2040,0.57597506,0.54433495
2041,0.4480887,0.5443038
2054,0.5795145,0.54385966
2074,0.5200078,0.5423729
2076,0.40611053,0.5423729
2079,0.49221665,0.5422078
2088,0.5020364,0.5417661
2092,0.50253916,0.5416667
2100,0.532223,0.5416667
2101,0.39673355,0.5416667
2102,0.62274575,0.54140127
2107,0.42443475,0.5410628
2120,0.4919464,0.5406977
2139,0.43426722,0.53963417
2144,0.50612456,0.5394191
2146,0.54402757,0.53913045
2148,0.6128273,0.53900707
2149,0.4561535,0.53896105
2162,0.48659563,0.53846157
2166,0.62064195,0.53846157
2168,0.44196418,0.53846157
2171,0.50042266,0.53846157
2179,0.52600926,0.5378788
2193,0.5479436,0.5374376
2196,0.42144322,0.53731346
2198,0.5164509,0.5371669
2199,0.41167095,0.537037
2200,0.5069898,0.537037
2204,0.4373126,0.5367647
2206,0.62404585,0.53672314
2212,0.43144107,0.53648067
2232,0.5050247,0.53571427
2241,0.49475402,0.53535354
2244,0.51558256,0.53521127
2245,0.547781,0.53521127
2259,0.4338203,0.5344828
2261,0.55648875,0.5344828
2263,0.6302942,0.5344828
2265,0.5352402,0.53409094
2266,0.58662343,0.53409094
2272,0.512004,0.53333336
2276,0.48783597,0.53333336
2277,0.50090134,0.53333336
2284,0.4697371,0.53333336
2290,0.57084763,0.5331412
2292,0.51996917,0.5329341
2299,0.5636307,0.5323741
2301,0.49714416,0.532294
2304,0.5504811,0.5322581
2308,0.4458031,0.5319149
2312,0.4052702,0.5317919
2317,0.50827146,0.53169733
2319,0.5795776,0.5316456
2322,0.49615455,0.5315315
2323,0.62099934,0.5313352
2330,0.43682724,0.53125
2331,0.5020046,0.53125
2344,0.55802083,0.5307692
2348,0.4718394,0.53061223
2349,0.5304247,0.53061223
2352,0.6138867,0.53061223
2359,0.57918143,0.5304348
2366,0.6510829,0.5301205
2372,0.45984045,0.5298507
2377,0.4658944,0.52970296
2378,0.55073714,0.52970296
2379,0.5756693,0.52970296
2383,0.5592077,0.5294118
2387,0.57823014,0.5294118
2396,0.46477818,0.52901024
2399,0.6165017,0.5289256
2402,0.5579219,0.52873564
2403,0.4986385,0.5286195
2413,0.47270897,0.5277778
2420,0.57482743,0.52757543
2437,0.48949626,0.527027
2439,0.45491043,0.5268817
2440,0.5767283,0.5268817
2441,0.41672778,0.5268817
2442,0.5108692,0.5268631
2459,0.5959626,0.5263158
2461,0.6425066,0.5263158
2466,0.54225767,0.5262646
2468,0.5316435,0.5261194
2473,0.6087091,0.52577317
2477,0.44431183,0.5254237
2483,0.54795885,0.5253165
2494,0.6249453,0.5248869
2495,0.52759063,0.5248538
2498,0.44120517,0.5247525
2505,0.5238526,0.52459013
2510,0.5705712,0.5241935
2518,0.48208657,0.52380955
2520,0.5907234,0.52380955
2523,0.51540524,0.52380955
2525,0.53630126,0.52380955
2528,0.5292745,0.52380955
2529,0.68897104,0.52380955
2532,0.39736432,0.52362204
2535,0.53369987,0.5235457
2537,0.5034001,0.5234834
2540,0.57287884,0.52340937
2542,0.57088685,0.5232558
2548,0.525492,0.52313167
2549,0.5649644,0.52307695
2552,0.5659313,0.5229759
2555,0.6031289,0.52284265
2560,0.45226178,0.52255636
2570,0.5979928,0.5222222
2571,0.5789901,0.5222222
2574,0.54107547,0.5221239
2577,0.4920513,0.5219512
2579,0.5343403,0.5219024
2581,0.46700323,0.5217391
2586,0.51072675,0.5217391
2595,0.43332726,0.5214286
2597,0.5239881,0.5214286
2599,0.44191378,0.52136755
2602,0.56308866,0.5211864
2603,0.5600344,0.52115816
2605,0.51312786,0.52112675
2610,0.44123262,0.5209003
2618,0.62618685,0.5208333
2619,0.5711572,0.5208333
2622,0.5216367,0.5208333
2624,0.5367593,0.52056557
2633,0.5673684,0.52011496
2639,0.6835315,0.52
2645,0.4761295,0.5196472
2647,0.43728894,0.51960784
2648,0.46305308,0.51955307
2649,0.49612665,0.5195195
2650,0.5942745,0.51937985
2654,0.5192355,0.5192508
2656,0.3594864,0.5192308
2658,0.59393513,0.519084
2661,0.45302355,0.5190476
2663,0.50969726,0.51898736
2667,0.53482485,0.5189349
2669,0.5366634,0.5188679
2670,0.50282276,0.51878357
2678,0.4811636,0.5185185
2683,0.48244625,0.5185185
2686,0.5088049,0.51829267
2690,0.6113033,0.5179856
2696,0.5289614,0.5178082
2698,0.56574774,0.51758087
2701,0.4995023,0.5175202
2703,0.54284847,0.5173913
2704,0.5894612,0.5173913
2710,0.5603832,0.51724136
2712,0.53037554,0.51724136
2713,0.5241902,0.5172043
2718,0.5138977,0.5168539
2725,0.49647287,0.51666665
2733,0.4725218,0.516129
2748,0.50778353,0.51552796
2756,0.50459313,0.5153846
2764,0.51592994,0.5151515
2765,0.52794456,0.5150784
2775,0.55359846,0.5146199
2776,0.52820146,0.51457465
2779,0.43106854,0.51446944
2780,0.50639385,0.51445085
2781,0.4953071,0.51445085
2785,0.47231022,0.51428574
2787,0.53114676,0.51428574
2801,0.5130832,0.5133965
2806,0.4867739,0.5131579
2811,0.5056915,0.5130208
2817,0.5875908,0.51282054
2821,0.5024703,0.5127353
2825,0.5296849,0.51256984
2826,0.5111121,0.5125495
2840,0.5432993,0.5120482
2841,0.41206184,0.5120482
2843,0.51542425,0.51194537
2846,0.51765096,0.5119048
2852,0.49466962,0.5116279
2862,0.4966818,0.51111114
2876,0.5263481,0.5103627
2877,0.59035873,0.5103448
2881,0.53322995,0.5102041
2882,0.5716591,0.5100981
2884,0.47936985,0.51002866
