idx,pred,true,pred_bin_05,pred_bin_best,best_threshold
1058,0.000166533,0.0,0,0,0.34254003
1059,0.28927916,0.0,0,0,0.34254003
1065,0.22399789,0.0,0,0,0.34254003
1068,0.01507808,1.0,0,0,0.34254003
1077,6.597225e-06,0.0,0,0,0.34254003
1086,0.3513633,1.0,0,1,0.34254003
1087,0.77803147,1.0,1,1,0.34254003
1088,0.34652647,1.0,0,1,0.34254003
1090,0.19111027,0.0,0,0,0.34254003
1095,0.0004507597,0.0,0,0,0.34254003
1098,0.21457112,1.0,0,0,0.34254003
1102,0.010507335,0.0,0,0,0.34254003
1104,0.06881163,0.0,0,0,0.34254003
1106,0.25708556,0.0,0,0,0.34254003
1108,7.804819e-05,0.0,0,0,0.34254003
1113,0.15298414,0.0,0,0,0.34254003
1120,2.5156593e-05,0.0,0,0,0.34254003
1126,0.011002364,0.0,0,0,0.34254003
1138,0.009342147,0.0,0,0,0.34254003
1142,0.0040804143,0.0,0,0,0.34254003
1147,0.011235398,0.0,0,0,0.34254003
1152,0.025089905,0.0,0,0,0.34254003
1169,0.005388006,0.0,0,0,0.34254003
1170,0.20296676,1.0,0,0,0.34254003
1173,0.012444424,0.0,0,0,0.34254003
1174,0.19470234,1.0,0,0,0.34254003
1180,0.009637994,0.0,0,0,0.34254003
1184,5.4697125e-07,0.0,0,0,0.34254003
1189,0.121626884,0.0,0,0,0.34254003
1192,0.42837846,1.0,0,1,0.34254003
1198,0.0008931043,0.0,0,0,0.34254003
1199,0.0005402219,0.0,0,0,0.34254003
1203,0.079111814,0.0,0,0,0.34254003
1207,0.029638555,0.0,0,0,0.34254003
1209,0.00010609974,0.0,0,0,0.34254003
1218,0.0065437052,0.0,0,0,0.34254003
1219,0.99107754,1.0,1,1,0.34254003
1220,0.057126258,0.0,0,0,0.34254003
1223,0.0005047101,0.0,0,0,0.34254003
1225,0.017845195,0.0,0,0,0.34254003
1229,0.4239905,1.0,0,1,0.34254003
1231,0.0005119796,0.0,0,0,0.34254003
1236,0.03920325,1.0,0,0,0.34254003
1244,0.0007010611,0.0,0,0,0.34254003
1253,0.9391886,1.0,1,1,0.34254003
1254,1.2168781e-05,0.0,0,0,0.34254003
1258,0.02784643,0.0,0,0,0.34254003
1259,0.4125966,0.0,0,1,0.34254003
1271,0.00032705755,0.0,0,0,0.34254003
1274,0.0016750483,0.0,0,0,0.34254003
1275,3.3642864e-05,1.0,0,0,0.34254003
1276,0.6307114,0.0,1,1,0.34254003
1280,0.74055886,1.0,1,1,0.34254003
1285,5.127309e-06,0.0,0,0,0.34254003
1287,0.024241954,0.0,0,0,0.34254003
1290,0.0023884405,0.0,0,0,0.34254003
1293,0.029023096,0.0,0,0,0.34254003
1294,0.9486605,1.0,1,1,0.34254003
1296,0.0016081465,0.0,0,0,0.34254003
1299,0.00042591806,0.0,0,0,0.34254003
1305,0.7716078,0.0,1,1,0.34254003
1307,0.0006868849,0.0,0,0,0.34254003
1310,0.048950884,0.0,0,0,0.34254003
1311,0.8620597,1.0,1,1,0.34254003
1312,0.37165102,1.0,0,1,0.34254003
1318,0.0044793324,0.0,0,0,0.34254003
1324,0.033339858,0.0,0,0,0.34254003
1328,0.0067653954,0.0,0,0,0.34254003
1329,0.04801169,0.0,0,0,0.34254003
1334,0.003318451,0.0,0,0,0.34254003
1336,0.0012558552,0.0,0,0,0.34254003
1339,0.0010695532,0.0,0,0,0.34254003
1342,0.55818856,1.0,1,1,0.34254003
1344,0.94588965,1.0,1,1,0.34254003
1348,0.54005724,0.0,1,1,0.34254003
1349,0.3512393,0.0,0,1,0.34254003
1353,0.61652255,1.0,1,1,0.34254003
1354,0.4192027,0.0,0,1,0.34254003
1362,0.00217596,0.0,0,0,0.34254003
1368,0.00069625553,0.0,0,0,0.34254003
1369,0.0046952004,0.0,0,0,0.34254003
1372,0.00064869155,0.0,0,0,0.34254003
1374,0.688928,1.0,1,1,0.34254003
1375,0.18289113,0.0,0,0,0.34254003
1376,0.0017383818,0.0,0,0,0.34254003
1380,0.62701565,1.0,1,1,0.34254003
1389,0.006577254,0.0,0,0,0.34254003
1410,0.00025530468,0.0,0,0,0.34254003
1414,4.1465963e-05,0.0,0,0,0.34254003
1421,0.006988825,0.0,0,0,0.34254003
1423,0.004686705,0.0,0,0,0.34254003
1441,0.07245608,0.0,0,0,0.34254003
1447,0.14340802,1.0,0,0,0.34254003
1459,0.15875472,0.0,0,0,0.34254003
1461,0.0019711552,0.0,0,0,0.34254003
1476,0.0040969085,0.0,0,0,0.34254003
1487,0.53715724,1.0,1,1,0.34254003
1496,0.0008977173,1.0,0,0,0.34254003
1505,6.563794e-06,0.0,0,0,0.34254003
1507,0.0027830296,0.0,0,0,0.34254003
1508,0.21499902,0.0,0,0,0.34254003
1512,0.15436514,0.0,0,0,0.34254003
1521,1.1604513e-06,0.0,0,0,0.34254003
1524,0.13087468,0.0,0,0,0.34254003
1525,0.011799936,0.0,0,0,0.34254003
1527,0.4616836,0.0,0,1,0.34254003
1528,0.017380266,0.0,0,0,0.34254003
1531,0.00024728285,0.0,0,0,0.34254003
1539,0.1018982,0.0,0,0,0.34254003
1541,2.527329e-05,0.0,0,0,0.34254003
1546,0.24918856,0.0,0,0,0.34254003
1547,0.81764376,1.0,1,1,0.34254003
1554,0.0007475744,0.0,0,0,0.34254003
1557,7.0727096e-05,0.0,0,0,0.34254003
1559,0.2752323,0.0,0,0,0.34254003
1560,0.07941783,0.0,0,0,0.34254003
1562,0.4307085,0.0,0,1,0.34254003
1573,0.008198627,0.0,0,0,0.34254003
1581,0.002730685,0.0,0,0,0.34254003
1584,0.031508286,0.0,0,0,0.34254003
1590,0.23600009,1.0,0,0,0.34254003
1597,0.4525786,1.0,0,1,0.34254003
1599,0.00033588143,0.0,0,0,0.34254003
1604,0.003543517,0.0,0,0,0.34254003
1605,0.000443568,0.0,0,0,0.34254003
1607,0.6263076,1.0,1,1,0.34254003
1610,1.700333e-05,0.0,0,0,0.34254003
1611,0.18686952,0.0,0,0,0.34254003
1616,0.0018712905,0.0,0,0,0.34254003
1621,0.0042990125,0.0,0,0,0.34254003
1630,0.0045034606,0.0,0,0,0.34254003
1633,0.17000392,0.0,0,0,0.34254003
1635,0.0008687679,0.0,0,0,0.34254003
1637,0.040342003,0.0,0,0,0.34254003
1643,0.02864695,0.0,0,0,0.34254003
1646,0.9795473,1.0,1,1,0.34254003
1649,0.016774405,0.0,0,0,0.34254003
1660,0.020737885,0.0,0,0,0.34254003
